match,Name,overs,runs,wickets,Econ,zero,four,six,wide,noball
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Deepak Chahar,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Tushar Deshpande,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Maheesh Theekshana,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Ravindra Jadeja,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Matheesha Pathirana,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Mohammed Shami,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Hardik Pandya,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Rashid Khan,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Noor Ahmad,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Josh Little,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",Mohit Sharma,,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,4,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,1,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,2,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,3,,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,38,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,56,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,36,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,38,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,44,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,29,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,14,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,44,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,17,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,30,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,36,,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,1,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,1,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,2,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,2,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,0,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,3,,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.5,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.5,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,11,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,9.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,14.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,5.66,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,15,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,12,,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,5,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,4,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,8,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,3,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,7,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,5,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,1,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,2,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,6,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,1,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,4,,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,7,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,3,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,1,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,4,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,0,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,0,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,2,,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,2,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,2,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,0,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,1,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,0,,
"Final (N), Ahmedabad, May 28 - 29, 2023, Indian Premier League",,,,,,,,3,,
